1676816496848	26987,0,65847296	27004,0,69599232	27023,0,67682304	27041,0,69038080
1676816497854	26987,51.48514851485149,127905792	27004,45.54455445544555,129458176	27023,59.4059405940594,124043264	27041,49.504950495049506,117125120
1676816498857	26987,2,130310144	27004,0,129458176	27023,0,124043264	27041,1,117166080
1676816499860	26987,3,130461696	27004,2,129732608	27023,5,139358208	27041,0,117166080
1676816500865	26987,6.9306930693069315,133095424	27004,1.9801980198019802,130248704	27023,3.9603960396039604,142553088	27041,6.9306930693069315,131620864
1676816501868	26987,69,145313792	27004,2,132644864	27023,2,142553088	27041,5,134483968
1676816502868	26987,7.000000000000001,146243584	27004,3,132911104	27023,3,142823424	27041,1,136847360
1676816503870	26987,76.23762376237624,149901312	27004,61.386138613861384,151691264	27023,47.524752475247524,152236032	27041,108.91089108910892,156639232
1676816504871	26987,97,228110336	27004,75,157937664	27023,5,153587712	27041,210,265916416
1676816505872	26987,126,246550528	27004,23,158343168	27023,2,153657344	27041,96,266260480
1676816506874	26987,94,287592448	27004,20,170926080	27023,36,154583040	27041,68,266547200
1676816507876	26987,66,287592448	27004,12,185606144	27023,71,200933376	27041,20,266633216
1676816508877	26987,150,368861184	27004,17,200286208	27023,48,207577088	27041,69,278069248
1676816509877	26987,105,372891648	27004,14.000000000000002,214966272	27023,55.00000000000001,249585664	27041,20,278081536
1676816510878	26987,108,374509568	27004,54,254779392	27023,10,249585664	27041,88,327032832
1676816511879	26987,101,404664320	27004,60,287051776	27023,9,249663488	27041,70,327303168
1676816512879	26987,71,442908672	27004,51,291368960	27023,53,252702720	27041,15,327360512
1676816513880	26987,51.48514851485149,442974208	27004,3.9603960396039604,291459072	27023,0,252743680	27041,48.51485148514851,327409664
1676816514881	26987,89,515014656	27004,3,291459072	27023,0,252743680	27041,72,328486912
1676816515883	26987,88,515026944	27004,4,291459072	27023,1,252743680	27041,123,391196672
1676816516884	26987,67,515026944	27004,4,291610624	27023,10,252743680	27041,42,397361152
1676816517886	26987,36,515072000	27004,6,291610624	27023,30,252743680	27041,14.000000000000002,397631488
1676816518887	26987,79,602034176	27004,4,291610624	27023,0,252743680	27041,36,397717504
1676816519889	26987,52,602128384	27004,28.000000000000004,312422400	27023,0,252743680	27041,55.00000000000001,397717504
1676816520891	26987,68.31683168316832,602128384	27004,17.82178217821782,312422400	27023,0,252743680	27041,47.524752475247524,397717504
1676816521893	26987,64,602128384	27004,35,315396096	27023,1,252743680	27041,51,455880704
1676816522894	26987,71,680583168	27004,5,315150336	27023,0,252743680	27041,39,455979008
1676816523895	26987,1,682749952	27004,0,0	27023,1,252821504	27041,1,456118272
