1676753132743	3541,0,69586944	3560,0,68530176	3600,0,69464064	3619,0,66654208	3638,0,67584000
1676753133747	3541,49,132534272	3560,54,137719808	3600,56.00000000000001,125472768	3619,52,123756544	3638,48,121565184
1676753134748	3541,3.9603960396039604,135864320	3560,0.9900990099009901,137719808	3600,0,125472768	3619,0,123756544	3638,0,121565184
1676753135753	3541,13,140062720	3560,0,137863168	3600,0,125472768	3619,0,123756544	3638,1,121565184
1676753136756	3541,3,140349440	3560,2,138137600	3600,5,139137024	3619,0,123756544	3638,0,121565184
1676753137761	3541,3.9603960396039604,141156352	3560,2.9702970297029703,140898304	3600,4.9504950495049505,141746176	3619,6.9306930693069315,137793536	3638,0,121565184
1676753138765	3541,4,141434880	3560,5,141320192	3600,2,144076800	3619,5,140488704	3638,7.000000000000001,137449472
1676753139770	3541,7.920792079207921,148742144	3560,3.9603960396039604,141713408	3600,2.9702970297029703,144347136	3619,2.9702970297029703,142979072	3638,2.9702970297029703,137965568
1676753140774	3541,6,149295104	3560,0,141713408	3600,1,144347136	3619,1,142979072	3638,1,140062720
1676753141776	3541,72,164392960	3560,65,155598848	3600,46,152797184	3619,41,150515712	3638,65,150208512
1676753142779	3541,234.65346534653463,257679360	3560,103.96039603960396,186527744	3600,1.9801980198019802,152997888	3619,0.9900990099009901,150994944	3638,276.2376237623762,255127552
1676753143780	3541,245.00000000000003,269205504	3560,41,190857216	3600,1,152997888	3619,50,153169920	3638,188,270610432
1676753144782	3541,229,358006784	3560,37,206098432	3600,65,167878656	3619,0,0	3638,59,271044608
1676753145784	3541,204,358043648	3560,220.00000000000003,268193792	3600,57.99999999999999,176680960	3619,0,0	3638,168,348049408
1676753146785	3541,176,362033152	3560,52,323133440	3600,162,256516096	3619,0,0	3638,28.999999999999996,348135424
1676753147786	3541,102,362262528	3560,4,323334144	3600,56.99999999999999,267399168	3619,0,0	3638,0,0
1676753148787	3541,145,362262528	3560,19,327389184	3600,167,274501632	3619,0,0	3638,0,0
1676753149788	3541,162.3762376237624,419782656	3560,54.45544554455446,330633216	3600,201.98019801980197,298553344	3619,0,0	3638,0,0
1676753150791	3541,75,420048896	3560,0,0	3600,47,298823680	3619,0,0	3638,0,0
