1676606252703	5441,0,65957888	5459,0,66600960	5497,0,66138112
1676606253709	5441,72.27722772277228,124178432	5459,86.13861386138613,132874240	5497,81.1881188118812,121245696
1676606254713	5441,0,124178432	5459,5,133386240	5497,9,134733824
1676606255717	5441,6.9306930693069315,127090688	5459,0.9900990099009901,135483392	5497,3.9603960396039604,135155712
1676606256719	5441,57.99999999999999,140615680	5459,30,138764288	5497,47,141213696
1676606257721	5441,123,149602304	5459,57.99999999999999,146391040	5497,138,152317952
1676606258722	5441,49,160575488	5459,28.000000000000004,147660800	5497,59,164569088
1676606259725	5441,43,167133184	5459,31,152330240	5497,52,171003904
1676606260727	5441,44.554455445544555,186007552	5459,17.82178217821782,156626944	5497,44.554455445544555,192716800
1676606261728	5441,38,196571136	5459,11,162918400	5497,47,206450688
1676606262730	5441,36,196571136	5459,18,169549824	5497,40,206721024
1676606263732	5441,48,198737920	5459,9,177938432	5497,42,208887808
1676606264734	5441,23,198737920	5459,4,184229888	5497,19,208891904
1676606265736	5441,40,198737920	5459,6,192618496	5497,63,224030720
1676606266737	5441,29.7029702970297,198737920	5459,5.9405940594059405,198909952	5497,24.752475247524753,228626432
1676606267739	5441,56.00000000000001,198737920	5459,56.00000000000001,203329536	5497,27,228626432
1676606268740	5441,28.000000000000004,198737920	5459,6,203329536	5497,41,228626432
1676606269741	5441,72,209281024	5459,9,203329536	5497,20,228626432
1676606270743	5441,40,209551360	5459,10,203329536	5497,71,229244928
1676606271744	5441,79,209551360	5459,3,203329536	5497,21,229244928
1676606272746	5441,26.732673267326735,209641472	5459,14.85148514851485,203374592	5497,41.584158415841586,229244928
1676606273749	5441,82,213426176	5459,6,203374592	5497,36,229253120
1676606274750	5441,56.00000000000001,216940544	5459,46,216342528	5497,62,229703680
1676606275753	5441,28.000000000000004,216940544	5459,4,216342528	5497,30,229769216
1676606276755	5441,37,216940544	5459,64,217890816	5497,73,241385472
1676606277757	5441,25.742574257425744,216940544	5459,16.831683168316832,217980928	5497,31.683168316831683,241385472
1676606278759	5441,37,216940544	5459,3,217980928	5497,56.99999999999999,242315264
1676606279762	5441,28.000000000000004,216940544	5459,3,217980928	5497,33,251592704
1676606280764	5441,44,216940544	5459,3,217980928	5497,22,268369920
1676606281766	5441,47,216940544	5459,3,217980928	5497,26,268369920
1676606282768	5441,34.65346534653465,243396608	5459,2.9702970297029703,217980928	5497,28.71287128712871,268615680
1676606283769	5441,41,243396608	5459,3,218112000	5497,22,268615680
1676606284771	5441,40,243396608	5459,5,218112000	5497,24,268615680
1676606285772	5441,38,243396608	5459,4,218112000	5497,37,268615680
1676606286774	5441,50,243396608	5459,4,218112000	5497,26,268615680
1676606287775	5441,49,243396608	5459,11,218112000	5497,35,268615680
1676606288777	5441,53.46534653465347,243470336	5459,3.9603960396039604,218112000	5497,19.801980198019802,268615680
1676606289779	5441,42,243470336	5459,4,218112000	5497,20,268681216
1676606290782	5441,30,243470336	5459,47,221356032	5497,34,268681216
1676606291784	5441,27,243470336	5459,87,237846528	5497,19,268681216
1676606292786	5441,42,243470336	5459,13,238678016	5497,24,268681216
1676606293787	5441,22.772277227722775,243470336	5459,5.9405940594059405,238678016	5497,74.25742574257426,268681216
1676606294788	5441,34,243470336	5459,7.000000000000001,238825472	5497,16,268681216
1676606295790	5441,28.000000000000004,243470336	5459,3,238825472	5497,22,268767232
1676606296792	5441,18,243470336	5459,11,238858240	5497,25,268767232
1676606297797	5441,0,243531776	5459,0,0	5497,0.9900990099009901,268783616
